2012-12-12 15:35:41,678 | DEBUG  | com.dhenton9000.mule.minimal.testproject.MuleLauncher |   21 | starting launcher
2012-12-12 15:35:44,788 | ERROR  | com.dhenton9000.mule.minimal.testproject.MuleLauncher |   41 | Error Class: org.mule.api.config.ConfigurationException
message: Error creating bean with name 'MuleWebFlow': Cannot create inner bean '(inner bean)' of type [org.mule.config.spring.factories.InboundEndpointFactoryBean] while setting bean property 'messageSource'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name '(inner bean)': Cannot create inner bean '(inner bean)' of type [org.mule.module.cxf.config.WebServiceFactoryBean] while setting bean property 'messageProcessors' with key [0]; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name '(inner bean)': Initialization of bean failed; nested exception is org.springframework.beans.TypeMismatchException: Failed to convert property value of type 'java.lang.String' to required type 'java.lang.Class' for property 'serviceClass'; nested exception is java.lang.IllegalArgumentException: Cannot find class [com.dhenton9000.registration.admissions.ws.impl.AdmissionImpl] (org.mule.api.lifecycle.InitialisationException)
2012-12-12 15:36:40,009 | DEBUG  | com.dhenton9000.mule.minimal.testproject.MuleLauncher |   21 | starting launcher
2012-12-12 15:36:42,584 | ERROR  | com.dhenton9000.mule.minimal.testproject.MuleLauncher |   41 | Error Class: org.mule.api.config.ConfigurationException
message: Error creating bean with name 'MuleWebFlow': Cannot create inner bean '(inner bean)' of type [org.mule.config.spring.factories.InboundEndpointFactoryBean] while setting bean property 'messageSource'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name '(inner bean)': Cannot create inner bean '(inner bean)' of type [org.mule.module.cxf.config.WebServiceFactoryBean] while setting bean property 'messageProcessors' with key [0]; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name '(inner bean)': Initialization of bean failed; nested exception is org.springframework.beans.TypeMismatchException: Failed to convert property value of type 'java.lang.String' to required type 'java.lang.Class' for property 'serviceClass'; nested exception is java.lang.IllegalArgumentException: Cannot find class [com.dhenton9000.registration.admissions.ws.impl.AdmissionImpl] (org.mule.api.lifecycle.InitialisationException)
2012-12-12 15:37:27,774 | DEBUG  | com.dhenton9000.mule.minimal.testproject.MuleLauncher |   21 | starting launcher
2012-12-12 15:37:30,274 | ERROR  | com.dhenton9000.mule.minimal.testproject.MuleLauncher |   41 | Error Class: org.mule.api.config.ConfigurationException
message: Error creating bean with name 'MuleWebFlow': Cannot create inner bean '(inner bean)' of type [org.mule.config.spring.factories.InboundEndpointFactoryBean] while setting bean property 'messageSource'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name '(inner bean)': Cannot create inner bean '(inner bean)' of type [org.mule.module.cxf.config.WebServiceFactoryBean] while setting bean property 'messageProcessors' with key [0]; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name '(inner bean)': Initialization of bean failed; nested exception is org.springframework.beans.TypeMismatchException: Failed to convert property value of type 'java.lang.String' to required type 'java.lang.Class' for property 'serviceClass'; nested exception is java.lang.IllegalArgumentException: Cannot find class [com.dhenton9000.registration.admissions.ws.impl.AdmissionImpl] (org.mule.api.lifecycle.InitialisationException)
2012-12-12 15:38:17,169 | DEBUG  | com.dhenton9000.mule.minimal.testproject.MuleLauncher |   21 | starting launcher
2012-12-12 15:38:20,537 | ERROR  | com.dhenton9000.mule.minimal.testproject.MuleLauncher |   41 | Error Class: org.mule.api.lifecycle.LifecycleException
