13:47:42,710 | DEBUG  | org.apache.ibatis.logging.LogFactory |  115 | Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
13:47:42,871 | DEBUG  | org.apache.ibatis.transaction.jdbc.JdbcTransaction |  129 | Openning JDBC Connection
13:47:42,916 | DEBUG  | net.thornydev.mybatis.koan.koan11.LanguageMapper.getLanguageById |  132 | ooo Using Connection [org.postgresql.jdbc4.Jdbc4Connection@42f1916f]
13:47:42,930 | DEBUG  | net.thornydev.mybatis.koan.koan11.LanguageMapper.getLanguageById |  132 | ==>  Preparing: SELECT l.language_id, l.name, l.last_update, f.film_id, f.title, f.last_update as film_upd, f.special_features FROM language l LEFT OUTER JOIN film f on f.language_id = l.language_id WHERE l.language_id = ? ORDER BY f.film_id DESC 
13:47:42,984 | DEBUG  | net.thornydev.mybatis.koan.koan11.LanguageMapper.getLanguageById |  132 | ==> Parameters: 1(Integer)
13:47:43,024 | DEBUG  | org.apache.ibatis.transaction.jdbc.JdbcTransaction |  117 | Resetting autocommit to true on JDBC Connection [org.postgresql.jdbc4.Jdbc4Connection@42f1916f]
13:47:43,025 | DEBUG  | org.apache.ibatis.transaction.jdbc.JdbcTransaction |   85 | Closing JDBC Connection [org.postgresql.jdbc4.Jdbc4Connection@42f1916f]
13:47:43,030 | DEBUG  | org.apache.ibatis.transaction.jdbc.JdbcTransaction |  129 | Openning JDBC Connection
13:47:43,035 | DEBUG  | net.thornydev.mybatis.koan.koan11.LanguageMapper.getLanguageById |  132 | ooo Using Connection [org.postgresql.jdbc4.Jdbc4Connection@506835fb]
13:47:43,036 | DEBUG  | net.thornydev.mybatis.koan.koan11.LanguageMapper.getLanguageById |  132 | ==>  Preparing: SELECT l.language_id, l.name, l.last_update, f.film_id, f.title, f.last_update as film_upd, f.special_features FROM language l LEFT OUTER JOIN film f on f.language_id = l.language_id WHERE l.language_id = ? ORDER BY f.film_id DESC 
13:47:43,036 | DEBUG  | net.thornydev.mybatis.koan.koan11.LanguageMapper.getLanguageById |  132 | ==> Parameters: 3(Integer)
13:47:43,046 | DEBUG  | org.apache.ibatis.transaction.jdbc.JdbcTransaction |  117 | Resetting autocommit to true on JDBC Connection [org.postgresql.jdbc4.Jdbc4Connection@506835fb]
13:47:43,047 | DEBUG  | org.apache.ibatis.transaction.jdbc.JdbcTransaction |   85 | Closing JDBC Connection [org.postgresql.jdbc4.Jdbc4Connection@506835fb]
